Land,AV-Ort,Schengen gesamt erteilt,Schengen gesamt abgelehnt,Schengen gesamt bearbeitet,Schengen Ablehnungsquote,D gesamt erteilt,D gesamt abgelehnt,D gesamt bearbeitet,D Ablehnungsquote
Afghanistan,Kabul,1664,1268,2932,43.25%,615,186,801,23.22%
Ägypten,Kairo,20841,3493,24334,14.35%,1379,274,1653,16.58%
Albanien,Tirana,10616,1958,12574,15.57%,478,150,628,23.89%
Algerien,Algier,5816,1657,7473,22.17%,378,111,489,22.70%
Angola,Luanda,1597,389,1986,19.59%,62,12,74,16.22%
Argentinien,Buenos Aires,226,7,233,3.00%,681,54,735,7.35%
Armenien,Eriwan,7003,1348,8351,16.14%,304,126,430,29.30%
Aserbaidschan,Baku,9979,760,10739,7.08%,387,48,435,11.03%
Äthiopien,Addis Abeba,4328,465,4793,9.70%,428,87,515,16.89%
Australien,Canberra,61,2,63,3.17%,44,0,44,0.00%
Australien,Melbourne,473,20,493,4.06%,249,15,264,5.68%
Australien,Sydney,451,25,476,5.25%,507,23,530,4.34%
Australien Gesamt,"",985,47,1032,4.55%,800,38,838,4.53%
Bahrain,Manama,5718,115,5833,1.97%,23,7,30,23.33%
Bangladesh,Dhaka,2142,366,2508,14.59%,323,119,442,26.92%
Belgien,Brüssel,549,1,550,0.18%,145,33,178,18.54%
Benin,Cotonou,940,154,1094,14.08%,123,25,148,16.89%
Bolivien,La Paz,1175,62,1237,5.01%,191,14,205,6.83%
Bosnien und Herzegowin,Sarajewo,28179,4987,33166,15.04%,3066,750,3816,19.65%
Botsuana,Gaborone,638,70,708,9.89%,18,6,24,25.00%
Brasilien,Brasilia,40,6,46,13.04%,176,28,204,13.73%
Brasilien,Porto Alegre,17,1,18,5.56%,687,49,736,6.66%
Brasilien,Recife,21,2,23,8.70%,496,57,553,10.31%
Brasilien,Rio de Janeiro,51,3,54,5.56%,788,112,900,12.44%
Brasilien,São Paulo,382,20,402,4.98%,1893,145,2038,7.11%
Brasilien Gesamt,"",511,32,543,5.89%,4040,391,4431,8.82%
Bulgarien,Sofia,587,13,600,2.17%,45,0,45,0.00%
Burkina Faso,Ouagadougou,710,159,869,18.30%,100,21,121,17.36%
Chile,Santiago de Chile,240,16,256,6.25%,280,40,320,12.50%
China,Chengdu,3862,674,4536,14.86%,219,108,327,33.03%
China,Hongkong,922,19,941,2.02%,603,31,634,4.89%
China,Kanton,29184,1373,30557,4.49%,934,217,1151,18.85%
China,Peking,63722,4164,67886,6.13%,6386,859,7245,11.86%
China,Shanghai,60760,7259,68019,10.67%,4258,504,4762,10.58%
China Gesamt,"",158450,13489,171939,7.85%,12400,1719,14119,12.18%
Costa Rica,San José,68,4,72,5.56%,150,7,157,4.46%
Côte d'Ivoire,Abidjan,762,444,1206,36.82%,131,85,216,39.35%
Dänemark,Kopenhagen,4,0,4,0.00%,86,27,113,23.89%
Dominikanische Republik,Santo Domingo,2022,1054,3076,34.27%,411,106,517,20.50%
Ecuador,Quito,4381,472,4853,9.73%,406,96,502,19.12%
EJR Mazedonien,Skopje,16758,3031,19789,15.32%,1301,653,1954,33.42%
El Salvador,San Salvador,17,1,18,5.56%,45,9,54,16.67%
Estland,Tallinn,5,1,6,16.67%,25,2,27,7.41%
Finnland,Helsinki,11,2,13,15.38%,76,3,79,3.80%
Frankreich,Paris,60,6,66,9.09%,464,110,574,19.16%
Georgien,Tiflis,17072,2620,19692,13.30%,1065,283,1348,20.99%
Ghana,Accra,2775,1820,4595,39.61%,285,412,697,59.11%
Griechenland,Athen,11,1,12,8.33%,45,22,67,32.84%
Großbritannien,Edinburgh,2877,46,2923,1.57%,45,5,50,10.00%
Großbritannien,London,20210,246,20456,1.20%,572,9,581,1.55%
Großbritannien Gesamt,"",23087,292,23379,1.25%,617,14,631,2.22%
Guatemala,Guatemala-Stadt,66,7,73,9.59%,91,8,99,8.08%
Guinea,Conakry,969,853,1822,46.82%,140,93,233,39.91%
Honduras,Tegucigalpa,13,0,13,0.00%,41,3,44,6.82%
Indien,Chennai,29672,2064,31736,6.50%,5163,1296,6459,20.07%
Indien,Kalkutta,7121,103,7224,1.43%,427,13,440,2.95%
Indien,Mumbai,35903,680,36583,1.86%,2057,173,2230,7.76%
Indien,New Delhi,24945,1635,26580,6.15%,1613,453,2066,21.93%
Indien Gesamt,"",97641,4482,102123,4.39%,9260,1935,11195,17.28%
Indonesien,Jakarta,13738,689,14427,4.78%,1393,165,1558,10.59%
Irak,Bagdad,1764,66,1830,3.61%,123,35,158,22.15%
Iran,Teheran,44839,6672,51511,12.95%,1505,542,2047,26.48%
Irland,Dublin,1493,308,1801,17.10%,51,9,60,15.00%
Island,Reykjavik,2,0,2,0.00%,6,0,6,0.00%
Israel,Tel Aviv,2284,433,2717,15.94%,411,180,591,30.46%
Italien,Mailand,23,1,24,4.17%,225,87,312,27.88%
Italien,Neapel,2,0,2,0.00%,16,6,22,27.27%
Italien,Rom,14,5,19,26.32%,82,46,128,35.94%
Italien Gesamt,"",39,6,45,13.33%,323,139,462,30.09%
Jamaika,Kingston,1319,89,1408,6.32%,55,6,61,9.84%
Japan,Osaka-Kobe,491,24,515,4.66%,276,21,297,7.07%
Japan,Tokio,978,2,980,0.20%,438,10,448,2.23%
Japan Gesamt,"",1469,26,1495,1.74%,714,31,745,4.16%
Jemen,Sanaa,3536,393,3929,10.00%,410,28,438,6.39%
Jordanien,Amman,5725,1151,6876,16.74%,585,239,824,29.00%
Kambodscha,Phnom Penh,848,98,946,10.36%,64,16,80,20.00%
Kamerun,Jaunde,2441,1518,3959,38.34%,727,706,1433,49.27%
Kanada,Montreal,120,2,122,1.64%,37,1,38,2.63%
Kanada,Ottawa,533,16,549,2.91%,189,8,197,4.06%
Kanada,Toronto,1195,32,1227,2.61%,220,19,239,7.95%
Kanada,Vancouver,925,14,939,1.49%,177,9,186,4.84%
Kanada Gesamt,"",2773,64,2837,2.26%,623,37,660,5.61%
Kasachstan,Almaty,14905,623,15528,4.01%,646,166,812,20.44%
Kasachstan,Astana,15907,2685,18592,14.44%,1652,94,1746,5.38%
Kasachstan Gesamt,"",30812,3308,34120,9.70%,2298,260,2558,10.16%
Katar,Doha,16823,33,16856,0.20%,49,1,50,2.00%
Kenia,Nairobi,4452,732,5184,14.12%,1043,194,1237,15.68%
Kirgistan,Bischkek,6208,1341,7549,17.76%,696,228,924,24.68%
Kolumbien,Bogota,8761,974,9735,10.01%,1363,116,1479,7.84%
Kongo,Kinshasa,1052,814,1866,43.62%,88,89,177,50.28%
Korea DVR,Pjöngjang,152,8,160,5.00%,270,8,278,2.88%
Korea,Seoul,260,46,306,15.03%,546,101,647,15.61%
Kroatien,Zagreb,4369,267,4636,5.76%,5761,542,6303,8.60%
Kuba,Havanna,2738,628,3366,18.66%,476,124,600,20.67%
Kuwait,Kuwait,30509,412,30921,1.33%,86,11,97,11.34%
Laos,Vientiane,430,42,472,8.90%,13,6,19,31.58%
Lettland,Riga,12,0,12,0.00%,28,11,39,28.21%
Libanon,Beirut,5214,648,5862,11.05%,823,360,1183,30.43%
Libyen,Tripolis,6718,325,7043,4.61%,519,49,568,8.63%
Litauen,Wilna,7,0,7,0.00%,9,0,9,0.00%
Luxemburg,Luxemburg,7,2,9,22.22%,66,31,97,31.96%
Madagaskar,Antananarivo,1175,169,1344,12.57%,147,29,176,16.48%
Malawi,Lilongwe,1142,41,1183,3.47%,20,5,25,20.00%
Malaysia,Kuala Lumpur,486,110,596,18.46%,806,69,875,7.89%
Mali,Bamako,611,338,949,35.62%,34,16,50,32.00%
Malta,Valletta,22,5,27,18.52%,4,1,5,20.00%
Marokko,Rabat,9401,3546,12947,27.39%,1998,1107,3105,35.65%
Mauretanien,Nouakchott,456,158,614,25.73%,26,2,28,7.14%
Mexiko,Mexiko-Stadt,303,21,324,6.48%,2561,176,2737,6.43%
Moldau,Chisinau,6240,1269,7509,16.90%,582,89,671,13.26%
Mongolai,Ulan Bator,4007,800,4807,16.64%,209,227,436,52.06%
Mosambik,Maputo,611,93,704,13.21%,56,22,78,28.21%
Myanmar,Rangun,620,58,678,8.55%,402,10,412,2.43%
Namibia,Windhuk,3536,102,3638,2.80%,82,11,93,11.83%
Nepal,Kathmandu,1647,518,2165,23.93%,336,141,477,29.56%
Neuseeland,Wellington,315,14,329,4.26%,157,11,168,6.55%
Nicaragua,Managua,11,0,11,0.00%,31,4,35,11.43%
Niederlande,Amsterdam,77,4,81,4.94%,526,67,593,11.30%
Nigeria,Abuja,1419,104,1523,6.83%,90,3,93,3.23%
Nigeria,Lagos,14297,5218,19515,26.74%,500,289,789,36.63%
Nigeria Gesamt,"",15716,5322,21038,25.30%,590,292,882,33.11%
Norwegen,Oslo,0,3,3,100.00%,27,2,29,6.90%
Oman,Maskat,3927,134,4061,3.30%,197,8,205,3.90%
Österreich,Wien,79,6,85,7.06%,443,155,598,25.92%
Pakistan,Islamabad,6368,2644,9012,29.34%,1094,624,1718,36.32%
Pakistan,Karachi,3943,609,4552,13.38%,209,24,233,10.30%
Pakistan Gesamt,"",10311,3253,13564,23.98%,1303,648,1951,33.21%
Panama,Panama,43,2,45,4.44%,43,10,53,18.87%
Paraguay,Asuncion,14,29,43,67.44%,113,66,179,36.87%
Peru,Lima,5057,484,5541,8.73%,696,205,901,22.75%
Philippinen,Manila,9267,1470,10737,13.69%,7420,217,7637,2.84%
Polen,Breslau,7,0,7,0.00%,2,1,3,33.33%
Polen,Warschau,1466,13,1479,0.88%,173,21,194,10.82%
Polen Gesamt,"",1473,13,1486,0.87%,175,22,197,11.17%
Portugal,Lissabon,89,8,97,8.25%,49,14,63,22.22%
Ruanda,Kigali,948,203,1151,17.64%,28,16,44,36.36%
Rumänien,Bukarest,478,93,571,16.29%,39,19,58,32.76%
Rumänien,Hermannstadt,94,4,98,4.08%,2,0,2,0.00%
Rumänien,Temesvar,117,8,125,6.40%,7,1,8,12.50%
Rumänien Gesamt,"",211,12,223,5.38%,9,1,10,10.00%
Russische Föderation,Jekaterinburg,31967,159,32126,0.49%,745,47,792,5.93%
Russische Föderation,Kaliningrad,20384,588,20972,2.80%,468,58,526,11.03%
Russische Föderation,Moskau,244278,8623,252901,3.41%,6989,860,7849,10.96%
Russische Föderation,Nowosibirsk,46804,753,47557,1.58%,2565,440,3005,14.64%
Russische Föderation,St Petersburg,42283,949,43232,2.20%,1739,142,1881,7.55%
Russische Föderation Gesamt,"",385716,11072,396788,2.79%,12506,1547,14053,11.01%
Sambia,Lusaka,554,27,581,4.65%,37,4,41,9.76%
Saudi-Arabien,Riad,14758,1650,16408,10.06%,390,93,483,19.25%
Schweden,Stockholm,2,0,2,0.00%,118,45,163,27.61%
Schweiz,Bern,19699,250,19949,1.25%,209,25,234,10.68%
Schweiz,Genf,2267,84,2351,3.57%,49,4,53,7.55%
Schweiz Gesamt,"",21966,334,22300,1.50%,258,29,287,10.10%
Senegal,Dakar,3162,2015,5177,38.92%,259,90,349,25.79%
Serbien und Montenegro,Belgrad,55545,5281,60826,8.68%,3144,828,3972,20.85%
Serbien und Montenegro,Pristina,8723,5775,14498,39.83%,3540,1569,5109,30.71%
Serbien und Montenegro Gesamt,"",64268,11056,75324,14.68%,6684,2397,9081,26.40%
Simbabwe,Harare,630,8,638,1.25%,101,14,115,12.17%
Singapur,Singapur,3221,91,3312,2.75%,659,41,700,5.86%
Slowakei,Pressburg,10,0,10,0.00%,5,1,6,16.67%
Slowenien,Laibach,4,0,4,0.00%,335,2,337,0.59%
Spanien,Barcelona,5,2,7,28.57%,146,28,174,16.09%
Spanien,Madrid,33,0,33,0.00%,152,20,172,11.63%
Spanien Gesamt,"",38,2,40,5.00%,298,48,346,13.87%
Sri Lanka,Colombo,4496,2035,6531,31.16%,448,119,567,20.99%
Südafrika,Kapstadt,9714,102,9816,1.04%,270,44,314,14.01%
Südafrika,Pretoria,22608,151,22759,0.66%,433,50,483,10.35%
Südafrika Gesamt,"",32322,253,32575,0.78%,703,94,797,11.79%
Sudan,Khartum,2206,1144,3350,34.15%,199,125,324,38.58%
Syrien,Damaskus,5706,1462,7168,20.40%,1464,451,1915,23.55%
Tadschikistan,Duschanbe,1883,225,2108,10.67%,111,20,131,15.27%
Taiwan,Taipei,51390,150,51540,0.29%,897,71,968,7.33%
Tansania,Daressalam,1846,125,1971,6.34%,79,11,90,12.22%
Thailand,Bangkok,28110,2410,30520,7.90%,2639,487,3126,15.58%
Togo,Lome,449,139,588,23.64%,221,126,347,36.31%
Trinidad und Tobago,Port-of-Spain,1749,19,1768,1.07%,32,8,40,20.00%
Tschechische Republik,Prag,276,19,295,6.44%,90,34,124,27.42%
Tunesien,Tunis,7283,1745,9028,19.33%,1156,881,2037,43.25%
Türkei,Ankara,38072,12490,50562,24.70%,8827,2880,11707,24.60%
Türkei,Istanbul,79602,6778,86380,7.85%,4666,1340,6006,22.31%
Türkei,Izmir,21948,2808,24756,11.34%,2434,807,3241,24.90%
Türkei Gesamt,"",139622,22076,161698,13.65%,15927,5027,20954,23.99%
Turkmenistan,Aschgabat,1386,189,1575,12.00%,135,36,171,21.05%
Uganda,Kampala,1221,231,1452,15.91%,108,46,154,29.87%
Ukraine,Kiew,112520,11769,124289,9.47%,5732,840,6572,12.78%
Ungarn,Budapest,18,0,18,0.00%,37,16,53,30.19%
Uruguay,Montevideo,6,2,8,25.00%,47,6,53,11.32%
USA,Atlanta,1342,19,1361,1.40%,81,10,91,10.99%
USA,Boston,1424,15,1439,1.04%,43,7,50,14.00%
USA,Chicago,2852,150,3002,5.00%,211,24,235,10.21%
USA,Houston,1411,95,1506,6.31%,104,38,142,26.76%
USA,Los Angeles,2115,171,2286,7.48%,83,27,110,24.55%
USA,Miami,1103,28,1131,2.48%,65,5,70,7.14%
USA,New York,4465,511,4976,10.27%,147,52,199,26.13%
USA,San Francisco,3106,31,3137,0.99%,86,3,89,3.37%
USA,Washington,1419,7,1426,0.49%,590,17,607,2.80%
USA Gesamt,"",19237,1027,20264,5.07%,1410,183,1593,11.49%
Usbekistan,Taschkent,6378,538,6916,7.78%,765,214,979,21.86%
VAE,Abu Dhabi,14074,705,14779,4.77%,107,32,139,23.02%
VAE,Dubai,48324,1569,49893,3.14%,141,58,199,29.15%
VAE Gesamt,"",62398,2274,64672,3.52%,248,90,338,26.63%
Venezuela,Caracas,751,53,804,6.59%,285,44,329,13.37%
Vietnam,Hanoi,5523,714,6237,11.45%,1055,460,1515,30.36%
Vietnam,Ho-Chi-Minh-Stadt,4426,457,4883,9.36%,409,201,610,32.95%
Vietnam Gesamt,"",9949,1171,11120,10.53%,1464,661,2125,31.11%
Weißrussland,Minsk,84319,2398,86717,2.77%,1227,130,1357,9.58%
Zypern,Nikosia,1324,101,1425,7.09%,426,8,434,1.84%
Gesamt,Welt,1778857,163127,1941984,8.40%,138638,30044,168682,17.81%