Land,AV-Ort,Schengen gesamt erteilt,Schengen gesamt abgelehnt,Schengen gesamt bearbeitet,Schengen Ablehnungsquote,D gesamt erteilt,D gesamt abgelehnt,D gesamt bearbeitet,D Ablehnungsquote
Afghanistan,Kabul,2212,1329,3541,37.53%,559,162,721,22.47%
Ägypten,Kairo,24847,3046,27893,10.92%,1498,269,1767,15.22%
Albanien,Tirana,6332,2350,8682,27.07%,399,101,500,20.20%
Algerien,Algier,3918,1558,5476,28.45%,430,149,579,25.73%
Angola,Luanda,2286,1306,3592,36.36%,29,7,36,19.44%
Argentinien,Buenos Aires,216,19,235,8.09%,634,50,684,7.31%
Armenien,Eriwan,8713,872,9585,9.10%,402,89,491,18.13%
Aserbaidschan,Baku,11158,375,11533,3.25%,418,68,486,13.99%
Äthiopien,Addis Abeba,2840,470,3310,14.20%,520,109,629,17.33%
Australien,Canberra,56,5,61,8.20%,51,1,52,1.92%
Australien,Melbourne,608,31,639,4.85%,297,21,318,6.60%
Australien,Sydney,577,39,616,6.33%,387,20,407,4.91%
Australien Gesamt,"",1241,75,1316,5.70%,735,42,777,5.41%
Bahrain,Manama,6861,186,7047,2.64%,39,3,42,7.14%
Bangladesh,Dhaka,2460,324,2784,11.64%,464,144,608,23.68%
Belgien,Brüssel,23,4,27,14.81%,167,44,211,20.85%
Benin,Cotonou,704,126,830,15.18%,68,18,86,20.93%
Bolivien,La Paz,1143,131,1274,10.28%,229,15,244,6.15%
Bosnien und Herzegowin,Sarajewo,17504,2339,19843,11.79%,3963,693,4656,14.88%
Botsuana,Gaborone,764,58,822,7.06%,15,1,16,6.25%
Brasilien,Brasilia,22,12,34,35.29%,44,5,49,10.20%
Brasilien,Porto Alegre,14,2,16,12.50%,279,21,300,7.00%
Brasilien,Recife,23,2,25,8.00%,164,45,209,21.53%
Brasilien,Rio de Janeiro,54,5,59,8.47%,164,43,207,20.77%
Brasilien,Sao Paulo,203,42,245,17.14%,526,69,595,11.60%
Brasilien Gesamt,"",316,63,379,16.62%,1177,183,1360,13.46%
Bulgarien,Sofia,476,27,503,5.37%,47,12,59,20.34%
Burkina Faso,Ouagadougou,774,289,1063,27.19%,107,22,129,17.05%
Chile,Santiago de Chile,180,6,186,3.23%,671,50,721,6.93%
China,Chengdu,5832,397,6229,6.37%,355,32,387,8.27%
China,Hongkong,1633,7,1640,0.43%,674,34,708,4.80%
China,Kanton,32030,1250,33280,3.76%,1093,165,1258,13.12%
China,Peking,78573,1773,80346,2.21%,7345,745,8090,9.21%
China,Shanghai,68035,6731,74766,9.00%,4586,320,4906,6.52%
China Gesamt,"",186103,10158,196261,5.18%,14053,1296,15349,8.44%
Costa Rica,San José,86,6,92,6.52%,192,7,199,3.52%
Côte d'Ivoire,Abidjan,803,467,1270,36.77%,110,60,170,35.29%
Dänemark,Kopenhagen,7,0,7,0.00%,83,16,99,16.16%
Dominikanische Republik,Santo Domingo,2234,640,2874,22.27%,418,145,563,25.75%
Ecuador,Quito,5232,414,5646,7.33%,438,61,499,12.22%
EJR Mazedonien,Skopje,707,118,825,14.30%,903,353,1256,28.11%
El Salvador,San Salvador,19,0,19,0.00%,22,2,24,8.33%
Estland,Tallinn,0,0,0,#DIV/0!,10,7,17,41.18%
Finnland,Helsinki,6,3,9,33.33%,90,18,108,16.67%
Frankreich,Paris,52,28,80,35.00%,541,130,671,19.37%
Georgien,Tiflis,15450,1902,17352,10.96%,1144,207,1351,15.32%
Ghana,Accra,2999,1244,4243,29.32%,429,232,661,35.10%
Griechenland,Athen,17,5,22,22.73%,51,22,73,30.14%
Großbritannien,Edinburgh,3185,92,3277,2.81%,50,4,54,7.41%
Großbritannien,London,19745,216,19961,1.08%,627,49,676,7.25%
Großbritannien Gesamt,"",22930,308,23238,1.33%,677,53,730,7.26%
Guatemala,Guatemala-Stadt,62,9,71,12.68%,79,13,92,14.13%
Guinea,Conakry,691,680,1371,49.60%,81,85,166,51.20%
Honduras,Tegucigalpa,29,0,29,0.00%,35,11,46,23.91%
Indien,Chennai,26879,1880,28759,6.54%,5658,1104,6762,16.33%
Indien,Kalkutta,7145,103,7248,1.42%,375,22,397,5.54%
Indien,Mumbai,38022,562,38584,1.46%,2373,210,2583,8.13%
Indien,New Delhi,23361,1895,25256,7.50%,1687,402,2089,19.24%
Indien Gesamt,"",95407,4440,99847,4.45%,10093,1738,11831,14.69%
Indonesien,Jakarta,14872,597,15469,3.86%,1573,128,1701,7.52%
Irak,Bagdad,2676,493,3169,15.56%,242,55,297,18.52%
Irak,Erbil,793,18,811,2.22%,15,5,20,25.00%
Irak Gesamt,"",3469,511,3980,12.84%,257,60,317,18.93%
Iran,Teheran,42023,6321,48344,13.08%,2002,933,2935,31.79%
Irland,Dublin,1101,134,1235,10.85%,28,8,36,22.22%
Island,Reykjavik,2,0,2,0.00%,1,0,1,0.00%
Israel,Tel Aviv,2319,251,2570,9.77%,413,91,504,18.06%
Italien,Mailand,14,1,15,6.67%,57,18,75,24.00%
Italien,Rom,64,8,72,11.11%,247,96,343,27.99%
Italien Gesamt,"",78,9,87,10.34%,304,114,418,27.27%
Jamaika,Kingston,1049,80,1129,7.09%,47,14,61,22.95%
Japan,Osaka-Kobe,499,40,539,7.42%,220,18,238,7.56%
Japan,Tokio,993,37,1030,3.59%,325,13,338,3.85%
Japan Gesamt,"",1492,77,1569,4.91%,545,31,576,5.38%
Jemen,Sanaa,3490,189,3679,5.14%,305,35,340,10.29%
Jordanien,Amman,5996,925,6921,13.37%,651,98,749,13.08%
Kambodscha,Phnom Penh,1027,126,1153,10.93%,51,8,59,13.56%
Kamerun,Jaunde,2531,1054,3585,29.40%,1060,863,1923,44.88%
Kanada,Ottawa,620,25,645,3.88%,264,19,283,6.71%
Kanada,Toronto,1259,71,1330,5.34%,228,20,248,8.06%
Kanada,Vancouver,1000,22,1022,2.15%,230,7,237,2.95%
Kanada Gesamt,"",2879,118,2997,3.94%,722,46,768,5.99%
Kasachstan,Almaty,13447,436,13883,3.14%,471,49,520,9.42%
Kasachstan,Astana,15197,1230,16427,7.49%,988,160,1148,13.94%
Kasachstan Gesamt,"",28644,1666,30310,5.50%,1459,209,1668,12.53%
Katar,Doha,18166,97,18263,0.53%,41,0,41,0.00%
Kenia,Nairobi,4501,995,5496,18.10%,1245,261,1506,17.33%
Kirgistan,Bischkek,5070,693,5763,12.02%,544,119,663,17.95%
Kolumbien,Bogota,9313,410,9723,4.22%,1427,98,1525,6.43%
Kongo,Kinshasa,984,746,1730,43.12%,80,78,158,49.37%
Korea DVR,Pjöngjang,302,49,351,13.96%,53,2,55,3.64%
Korea,Seoul,323,26,349,7.45%,1112,92,1204,7.64%
Kosovo,Pristina,13284,3796,17080,22.22%,3585,1240,4825,25.70%
Kroatien,Zagreb,5193,305,5498,5.55%,6526,124,6650,1.86%
Kuba,Havanna,2126,463,2589,17.88%,421,88,509,17.29%
Kuwait,Kuwait,20414,425,20839,2.04%,108,10,118,8.47%
Laos,Vientiane,539,43,582,7.39%,34,3,37,8.11%
Lettland,Riga,12,0,12,0.00%,51,5,56,8.93%
Libanon,Beirut,5038,548,5586,9.81%,711,160,871,18.37%
Libyen,Tripolis,7049,548,7597,7.21%,554,99,653,15.16%
Litauen,Wilna,8,0,8,0.00%,10,3,13,23.08%
Luxemburg,Luxemburg,0,0,0,#DIV/0!,32,2,34,5.88%
Madagaskar,Antananarivo,1110,165,1275,12.94%,138,26,164,15.85%
Malawi,Lilongwe,1221,84,1305,6.44%,24,5,29,17.24%
Malaysia,Kuala Lumpur,513,76,589,12.90%,586,45,631,7.13%
Mali,Bamako,581,346,927,37.32%,65,18,83,21.69%
Malta,Valletta,8,1,9,11.11%,104,3,107,2.80%
Marokko,Rabat,9085,1958,11043,17.73%,2002,671,2673,25.10%
Mauretanien,Nouakchott,367,124,491,25.25%,46,11,57,19.30%
Mexiko,Mexiko-Stadt,277,56,333,16.82%,2502,186,2688,6.92%
Moldau,Chisinau,6445,363,6808,5.33%,507,67,574,11.67%
Mongolai,Ulan Bator,4971,522,5493,9.50%,287,113,400,28.25%
Mosambik,Maputo,719,72,791,9.10%,54,14,68,20.59%
Myanmar,Rangun,976,61,1037,5.88%,400,17,417,4.08%
Namibia,Windhuk,4724,104,4828,2.15%,116,14,130,10.77%
Nepal,Kathmandu,2234,486,2720,17.87%,437,196,633,30.96%
Neuseeland,Wellington,333,4,337,1.19%,239,10,249,4.02%
Nicaragua,Managua,10,2,12,16.67%,38,7,45,15.56%
Niederlande,Amsterdam,37,1,38,2.63%,423,81,504,16.07%
Nigeria,Abuja,947,111,1058,10.49%,60,5,65,7.69%
Nigeria,Lagos,10921,6745,17666,38.18%,608,234,842,27.79%
Nigeria Gesamt,"",11868,6856,18724,36.62%,668,239,907,26.35%
Norwegen,Oslo,4,0,4,0.00%,22,6,28,21.43%
Oman,Maskat,4601,77,4678,1.65%,128,9,137,6.57%
Österreich,Wien,28,3,31,9.68%,527,86,613,14.03%
Pakistan,Islamabad,5449,2670,8119,32.89%,1207,501,1708,29.33%
Pakistan,Karachi,4631,469,5100,9.20%,215,28,243,11.52%
Pakistan Gesamt,"",10080,3139,13219,23.75%,1422,529,1951,27.11%
Palästinesische Gebiete,Ramallah,453,22,475,4.63%,50,17,67,25.37%
Panama,Panama,137,24,161,14.91%,54,8,62,12.90%
Paraguay,Asuncion,22,14,36,38.89%,111,19,130,14.62%
Peru,Lima,5519,366,5885,6.22%,640,105,745,14.09%
Philippinen,Manila,9954,1098,11052,9.93%,7752,302,8054,3.75%
Polen,Warschau,299,1,300,0.33%,93,19,112,16.96%
Portugal,Lissabon,20,3,23,13.04%,45,17,62,27.42%
Ruanda,Kigali,1001,174,1175,14.81%,50,12,62,19.35%
Rumänien,Bukarest,327,89,416,21.39%,33,16,49,32.65%
Russische Föderation,Jekaterinburg,33370,321,33691,0.95%,904,77,981,7.85%
Russische Föderation,Kaliningrad,19617,564,20181,2.79%,510,50,560,8.93%
Russische Föderation,Moskau,224920,7872,232792,3.38%,6294,1272,7566,16.81%
Russische Föderation,Nowosibirsk,41878,569,42447,1.34%,1875,161,2036,7.91%
Russische Föderation,St Petersburg,30386,1021,31407,3.25%,1992,242,2234,10.83%
Russische Föderation Gesamt,"",350171,10347,360518,2.87%,11575,1802,13377,13.47%
Sambia,Lusaka,644,58,702,8.26%,45,6,51,11.76%
Saudi-Arabien,Riad,17890,1808,19698,9.18%,784,222,1006,22.07%
Schweden,Stockholm,0,1,1,100.00%,204,35,239,14.64%
Schweiz,Bern,20,8,28,28.57%,302,47,349,13.47%
Senegal,Dakar,1773,1416,3189,44.40%,253,102,355,28.73%
Serbien und Montenegro,Belgrad,1964,144,2108,6.83%,2707,671,3378,19.86%
Simbabwe,Harare,608,26,634,4.10%,113,14,127,11.02%
Singapur,Singapur,3207,69,3276,2.11%,724,37,761,4.86%
Slowakei,Pressburg,1,0,1,0.00%,3,1,4,25.00%
Slowenien,Laibach,3,0,3,0.00%,1384,20,1404,1.42%
Spanien,Barcelona,30,0,30,0.00%,81,6,87,6.90%
Spanien,Madrid,11,3,14,21.43%,179,93,272,34.19%
Spanien Gesamt,"",41,3,44,6.82%,260,99,359,27.58%
Sri Lanka,Colombo,3386,1325,4711,28.13%,575,162,737,21.98%
Südafrika,Kapstadt,9477,196,9673,2.03%,301,30,331,9.06%
Südafrika,Pretoria,20763,303,21066,1.44%,332,48,380,12.63%
Südafrika Gesamt,"",30240,499,30739,1.62%,633,78,711,10.97%
Sudan,Khartum,1671,806,2477,32.54%,154,64,218,29.36%
Syrien,Damaskus,4927,2539,7466,34.01%,3775,933,4708,19.82%
Tadschikistan,Duschanbe,2347,119,2466,4.83%,122,28,150,18.67%
Taiwan,Taipei,44014,80,44094,0.18%,1031,75,1106,6.78%
Tansania,Daressalam,1860,133,1993,6.67%,167,30,197,15.23%
Thailand,Bangkok,30438,1810,32248,5.61%,2687,336,3023,11.11%
Togo,Lome,542,83,625,13.28%,208,70,278,25.18%
Trinidad und Tobago,Port-of-Spain,1322,62,1384,4.48%,54,6,60,10.00%
Tschechische Republik,Prag,65,9,74,12.16%,140,48,188,25.53%
Tunesien,Tunis,6685,1415,8100,17.47%,1198,576,1774,32.47%
Türkei,Ankara,35175,11075,46250,23.95%,7755,2214,9969,22.21%
Türkei,Istanbul,67473,6262,73735,8.49%,4290,1090,5380,20.26%
Türkei,Izmir,21585,1942,23527,8.25%,2240,541,2781,19.45%
Türkei Gesamt,"",124233,19279,143512,13.43%,14285,3845,18130,21.21%
Turkmenistan,Aschgabat,1884,122,2006,6.08%,102,46,148,31.08%
Uganda,Kampala,1746,332,2078,15.98%,142,48,190,25.26%
Ukraine,Kiew,97171,6557,103728,6.32%,5794,748,6542,11.43%
Ungarn,Budapest,4,1,5,20.00%,35,15,50,30.00%
Uruguay,Montevideo,7,3,10,30.00%,33,0,33,0.00%
USA,Atlanta,1106,106,1212,8.75%,77,25,102,24.51%
USA,Boston,1508,19,1527,1.24%,77,3,80,3.75%
USA,Chicago,2267,165,2432,6.78%,233,62,295,21.02%
USA,Houston,1248,120,1368,8.77%,123,44,167,26.35%
USA,Los Angeles,1883,212,2095,10.12%,88,27,115,23.48%
USA,Miami,1154,36,1190,3.03%,52,6,58,10.34%
USA,New York,3548,97,3645,2.66%,187,43,230,18.70%
USA,San Francisco,2477,139,2616,5.31%,86,12,98,12.24%
USA,Washington,1310,70,1380,5.07%,586,11,597,1.84%
USA Gesamt,"",16501,964,17465,5.52%,1509,233,1742,13.38%
Usbekistan,Taschkent,7072,552,7624,7.24%,701,206,907,22.71%
VAE,Abu Dhabi,17023,1770,18793,9.42%,155,46,201,22.89%
VAE,Dubai,51786,2492,54278,4.59%,242,79,321,24.61%
VAE Gesamt,"",68809,4262,73071,5.83%,397,125,522,23.95%
Venezuela,Caracas,926,46,972,4.73%,276,33,309,10.68%
Vietnam,Hanoi,6782,289,7071,4.09%,1137,408,1545,26.41%
Vietnam,Ho-Chi-Minh-Stadt,4782,456,5238,8.71%,474,127,601,21.13%
Vietnam Gesamt,"",11564,745,12309,6.05%,1611,535,2146,24.93%
Weißrussland,Minsk,68190,674,68864,0.98%,1196,118,1314,8.98%
Zypern,Nikosia,1409,117,1526,7.67%,35,7,42,16.67%
Gesamt,Welt,1612355,129282,1741637,7.42%,142749,25998,168747,15.41%